id,source_id,source_cutoff,question_text,trigger_span,answer_text,answer_span,answer_score,snippet_has_arg1_of,trigger_has_arg1_of,answer_has_arg2_of
prosthetic.S12.Q1,prosthetic,1302,Is there a way to speed up the comfort period?,"[1232, 1258]",doesn't matter how strong the prosthetic is,"[1561.0, 1617.0]",3.0,['Implicit:Comparison.Concession+SpeechAct.Arg2-as-denier+SpeechAct'],['Implicit:Comparison.Concession+SpeechAct.Arg2-as-denier+SpeechAct'],['AltLex:Comparison.Concession.Arg2-as-denier']
prosthetic.S16.Q1,prosthetic,1428,Is there a new method that could be used?,"[1334, 1356]",,,1.0,['Implicit:Contingency.Cause.Result'],['Implicit:Contingency.Cause.Result'],[]
prosthetic.S25.Q1,prosthetic,2276,How can you get them to the masses?,"[1933, 1966]",,,1.0,"['Explicit:Expansion.Conjunction', 'Explicit:Temporal.Asynchronous.Precedence']",[],[]
prosthetic.S10.Q1,prosthetic,1054,Could make the sockets not painful?,"[1002, 1022]",,,2.0,['EntRel:nan'],['EntRel:nan'],[]
prosthetic.S27.Q1,prosthetic,2462,How does it relieve pressure?,"[2394, 2430]",,,2.0,['Explicit:Expansion.Level-of-detail.Arg1-as-detail'],['Explicit:Expansion.Level-of-detail.Arg1-as-detail'],[]
prosthetic.S29.Q1,prosthetic,2691,What did the veteran think of your prosthetic?,"[2587, 2622]",Thought it was very comfortable.,"[2745.0, 2768.0]",4.0,[],[],"['Implicit:Expansion.Instantiation', 'EntRel:nan']"
prosthetic.S31.Q1,prosthetic,2882,What can you do now with a new prosthetic?,"[2833, 2880]",They can begin the healing,"[3059.0, 3100.0]",3.0,['EntRel:nan'],['EntRel:nan'],['Implicit:Expansion.Conjunction']
prosthetic.S20.Q1,prosthetic,1619,Could you alleviate the pressure?,"[1453, 1484]",,,1.0,['Implicit:Contingency.Cause.Reason'],[],[]
prosthetic.S14.Q1,prosthetic,1561,Will someone seek to make these more tolerable?,"[1433, 1497]",They will seek to answer this,"[1893.0, 1923.0]",4.0,['AltLex:Comparison.Concession.Arg2-as-denier'],['AltLex:Comparison.Concession.Arg2-as-denier'],"['EntRel:nan', 'Implicit:Expansion.Conjunction', 'Explicit:Comparison.Concession.Arg2-as-denier']"
prosthetic.S21.Q1,prosthetic,1739,Can we make sockets more comfortable so people will use them?,"[1627, 1679]",Says they made them more comfortable. ,"[2030.0, 2080.0]",4.0,['EntRel:nan'],['EntRel:nan'],"['Explicit:Expansion.Conjunction', 'Explicit:Contingency.Cause.Result']"
prosthetic.S23.Q1,prosthetic,1925,What steps can you take to develop a more comfortable prosthetic?,"[1893, 1923]",Used magnetic resonance imaging and finite element modeling.,"[2137.0, 2201.0]",5.0,"['Explicit:Expansion.Conjunction', 'Explicit:Contingency.Cause.Result']","['Explicit:Expansion.Conjunction', 'Explicit:Contingency.Cause.Result']","['Implicit:Expansion.Level-of-detail.Arg2-as-detail', 'Implicit:Contingency.Purpose.Arg2-as-goal', 'Explicit:Temporal.Asynchronous.Precedence']"
prosthetic.S2.Q1,prosthetic,332,Where are you now?,"[67, 88]",,,1.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],[],[]
prosthetic.S6.Q1,prosthetic,635,So how did you get out?,"[524, 545]",,,1.0,['Explicit:Expansion.Level-of-detail.Arg2-as-detail'],[],[]
prosthetic.S8.Q1,prosthetic,938,Why wouldn't they use their prostheses?,"[906, 936]",They didn't fit god enough,"[1031.0, 1052.0]",5.0,['AltLex:Contingency.Cause.Reason'],['AltLex:Contingency.Cause.Reason'],"['AltLex:Contingency.Cause.Reason', 'Explicit:Contingency.Cause.Reason']"
prosthetic.S31.Q2,prosthetic,2882,did they enjoy helping this person? ,"[2857, 2863]",they are healing the people,"[3065.0, 3082.0]",4.0,['EntRel:nan'],['EntRel:nan'],['Implicit:Expansion.Conjunction']
prosthetic.S29.Q2,prosthetic,2691,did they like the new prosthesis?,"[2657, 2689]",they said it was sexy and like walking on pillows,"[2750.0, 2768.0]",5.0,[],[],"['Implicit:Expansion.Instantiation', 'EntRel:nan']"
prosthetic.S14.Q2,prosthetic,1561,why hasnt there been a streamlined way of helping people deal with this problem?,"[1541, 1559]",,,1.0,['AltLex:Comparison.Concession.Arg2-as-denier'],['AltLex:Comparison.Concession.Arg2-as-denier'],[]
prosthetic.S21.Q2,prosthetic,1739,how old are they? or do they mean like age of mankind?,"[1714, 1737]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
prosthetic.S23.Q2,prosthetic,1925,how is the person going to help them?,"[1909, 1922]",they made a whole new process of making prosteses.,"[1970.0, 2004.0]",5.0,"['Explicit:Expansion.Conjunction', 'Explicit:Contingency.Cause.Result']","['Explicit:Expansion.Conjunction', 'Explicit:Contingency.Cause.Result']","['Explicit:Expansion.Conjunction', 'Explicit:Contingency.Cause.Result']"
prosthetic.S25.Q2,prosthetic,2276,did it work? were they fitting better and not hurting people as much?,"[2034, 2079]",it relieves pressure so yes,"[2400.0, 2417.0]",5.0,"['Explicit:Expansion.Conjunction', 'Explicit:Temporal.Asynchronous.Precedence']",[],"['Implicit:Expansion.Level-of-detail.Arg2-as-detail', 'Implicit:Contingency.Purpose.Arg2-as-goal']"
prosthetic.S27.Q2,prosthetic,2462,how happy was this person to help the peopel in need?,"[2449, 2460]",,,1.0,['Explicit:Expansion.Level-of-detail.Arg1-as-detail'],['Explicit:Expansion.Level-of-detail.Arg1-as-detail'],[]
prosthetic.S10.Q2,prosthetic,1054,did anyone help them get new prostesis?,"[1036, 1047]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
prosthetic.S12.Q2,prosthetic,1302,did they continue to try and find more prostesis for them that would actually fit?,"[1282, 1300]",,,1.0,['Implicit:Comparison.Concession+SpeechAct.Arg2-as-denier+SpeechAct'],['Implicit:Comparison.Concession+SpeechAct.Arg2-as-denier+SpeechAct'],[]
prosthetic.S16.Q2,prosthetic,1428,has anyone helped them get a new conventional method prosthetists? ,"[1334, 1346]",they were asked to help solve the problem!,"[1847.0, 1865.0]",3.0,['Implicit:Contingency.Cause.Result'],['Implicit:Contingency.Cause.Result'],"['EntRel:nan', 'Explicit:Expansion.Conjunction']"
prosthetic.S20.Q2,prosthetic,1619,is there anything that will help with that pain?,"[1541, 1559]",they are being asked to help solve the problem!,"[1847.0, 1865.0]",3.0,['Implicit:Contingency.Cause.Reason'],[],"['EntRel:nan', 'Explicit:Expansion.Conjunction']"
prosthetic.S6.Q2,prosthetic,635,do they like where they live now?,"[446, 460]",,,1.0,['Explicit:Expansion.Level-of-detail.Arg2-as-detail'],[],[]
prosthetic.S8.Q2,prosthetic,938,why wouldnt they use their prostesis?,"[906, 936]",they didnt fit well.,"[1036.0, 1047.0]",5.0,['AltLex:Contingency.Cause.Reason'],['AltLex:Contingency.Cause.Reason'],"['AltLex:Contingency.Cause.Reason', 'Explicit:Contingency.Cause.Reason']"
prosthetic.S14.Q3,prosthetic,1561,Is there a way to relieve the pressure?,"[1476, 1497]",,,1.0,['AltLex:Comparison.Concession.Arg2-as-denier'],['AltLex:Comparison.Concession.Arg2-as-denier'],[]
prosthetic.S21.Q3,prosthetic,1739,Can they be shone the benfits out way the pain involved?,"[1627, 1661]",,,2.0,['EntRel:nan'],['EntRel:nan'],[]
prosthetic.S6.Q3,prosthetic,635,Do you feel safe now for yourself and your children?,"[446, 460]",,,1.0,['Explicit:Expansion.Level-of-detail.Arg2-as-detail'],[],[]
prosthetic.S8.Q3,prosthetic,938,Why do they not use their prostheses?,"[906, 936]",painful because they did not fit well,"[1015.0, 1052.0]",5.0,['AltLex:Contingency.Cause.Reason'],['AltLex:Contingency.Cause.Reason'],"['AltLex:Contingency.Cause.Reason', 'Explicit:Contingency.Cause.Reason']"
prosthetic.S25.Q3,prosthetic,2276,what is magnetic resonance imaging?,"[2088, 2114]",3d printer that images,"[2338.0, 2348.0]",4.0,"['Explicit:Expansion.Conjunction', 'Explicit:Temporal.Asynchronous.Precedence']",[],['Implicit:Expansion.Level-of-detail.Arg2-as-detail']
prosthetic.S27.Q3,prosthetic,2462,So this makes it more comfortable by fitting better?,"[2400, 2430]",walking on pillows,"[2750.0, 2768.0]",5.0,['Explicit:Expansion.Level-of-detail.Arg1-as-detail'],['Explicit:Expansion.Level-of-detail.Arg1-as-detail'],"['Implicit:Expansion.Instantiation', 'EntRel:nan']"
prosthetic.S29.Q3,prosthetic,2691,How quickly and cheaply can they be made comparatively? ,"[2511, 2530]",,,1.0,[],[],[]
prosthetic.S10.Q3,prosthetic,1054,Can they get new prostheses to fit better?,"[1040, 1052]",,,2.0,['EntRel:nan'],['EntRel:nan'],[]
prosthetic.S12.Q3,prosthetic,1302,Can they be taught this lesson that it takes time to get comfortable.,"[1282, 1300]",,,1.0,['Implicit:Comparison.Concession+SpeechAct.Arg2-as-denier+SpeechAct'],['Implicit:Comparison.Concession+SpeechAct.Arg2-as-denier+SpeechAct'],[]
prosthetic.S16.Q3,prosthetic,1428,Is their a new process that can be used to adjust the time it takes to get used to it?,"[1334, 1356]",solve this problem,"[1847.0, 1865.0]",3.0,['Implicit:Contingency.Cause.Result'],['Implicit:Contingency.Cause.Result'],"['EntRel:nan', 'Explicit:Expansion.Conjunction']"
prosthetic.S20.Q3,prosthetic,1619,Is there a way to relieve the pressure?,"[1453, 1484]",,,1.0,['Implicit:Contingency.Cause.Reason'],[],[]
prosthetic.S23.Q3,prosthetic,1925,How to solve this problem?,"[1840, 1852]",designed custom prosethetic sockets,"[1970.0, 2004.0]",5.0,"['Explicit:Expansion.Conjunction', 'Explicit:Contingency.Cause.Result']",[],"['Explicit:Expansion.Conjunction', 'Explicit:Contingency.Cause.Result']"
prosthetic.S2.Q2,prosthetic,332,do they still live there?,"[73, 88]","they said they ran for safety, so i assume they left for good. ","[446.0, 460.0]",4.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],[],"['Explicit:Temporal.Synchronous', 'Implicit:Contingency.Cause.Result']"
prosthetic.S31.Q3,prosthetic,2882,How does this give meaning to your life?,"[2857, 2874]",healing the souls,"[3065.0, 3082.0]",5.0,['EntRel:nan'],['EntRel:nan'],['Implicit:Expansion.Conjunction']
prosthetic.S2.Q3,prosthetic,332,Have the villages come back since the war?,"[306, 330]",,,1.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],[]
prosthetic.S22.Q1,prosthetic,1867,How can the problem be solved?,"[1830, 1865]",He models the prosthetic specifically for the patient.,"[2178.0, 2201.0]",4.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],['Explicit:Temporal.Asynchronous.Precedence']
prosthetic.S24.Q1,prosthetic,2081,What is different about the custom prosthetic sockets from conventional ones?,"[2034, 2079]","He uses MRIs to design a prosthetic specifically for a patient, based on that patient's anatomy.","[2118.0, 2167.0]",5.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],"['Implicit:Expansion.Level-of-detail.Arg2-as-detail', 'Implicit:Contingency.Purpose.Arg2-as-goal']"
prosthetic.S17.Q1,prosthetic,1619,Is there a different way to make prosthetics so that they are more comfortable to wear??,"[1453, 1497]","For his PhD project, he designed prosthetics that are more comfortable than conventional ones.","[1968.0, 2004.0]",4.0,['Implicit:Contingency.Cause.Reason'],[],"['Explicit:Expansion.Conjunction', 'Explicit:Contingency.Cause.Result']"
prosthetic.S26.Q1,prosthetic,2329,Who manufactures the prosthetic?,"[2285, 2327]",They use a 3D printer to 'print' the socket.,"[2338.0, 2393.0]",5.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],"['Implicit:Expansion.Level-of-detail.Arg2-as-detail', 'Implicit:Contingency.Purpose.Arg2-as-goal']"
prosthetic.S28.Q1,prosthetic,2532,Is there anything else you can do with the data to help the patient?,"[2472, 2488]",,,1.0,"['Implicit:Expansion.Instantiation', 'EntRel:nan']","['Implicit:Expansion.Instantiation', 'EntRel:nan']",[]
prosthetic.S30.Q1,prosthetic,2793,Are most of your patients military veterans?,"[2610, 2622]",Some of people helped were injured in a war.,"[3086.0, 3119.0]",3.0,['NoRel:nan'],[],['Implicit:Expansion.Conjunction']
prosthetic.S32.Q1,prosthetic,3040,Are you sharing your research and processes with other doctors?,"[2913, 2932]",,,1.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],[]
prosthetic.S17.Q2,prosthetic,1619,Who is the person giving this opinion on prosthetists?,"[1334, 1356]",Someone who has received feedback from a professor.,"[1772.0, 1781.0]",3.0,['Implicit:Contingency.Cause.Reason'],[],"['EntRel:nan', 'Explicit:Temporal.Synchronous']"
prosthetic.S22.Q2,prosthetic,1867,How can these prosthetic sockets be improved?,"[1858, 1865]",The author is doing research to try to find the answer.,"[1953.0, 1966.0]",3.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],"['Explicit:Expansion.Conjunction', 'Explicit:Contingency.Cause.Result']"
prosthetic.S24.Q2,prosthetic,2081,Did the custom sockets work?,"[1979, 2004]",,,2.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],[]
prosthetic.S26.Q2,prosthetic,2329,Who did she test this on?,"[2292, 2311]",She has patients one being a U.S. veteran.,"[2610.0, 2622.0]",5.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],"['Implicit:Expansion.Instantiation', 'EntRel:nan']"
prosthetic.S28.Q2,prosthetic,2532,What do these sockets look like?,"[2338, 2348]",Its something soft,"[2734.0, 2738.0]",3.0,"['Implicit:Expansion.Instantiation', 'EntRel:nan']",[],"['Implicit:Expansion.Instantiation', 'EntRel:nan']"
prosthetic.S30.Q2,prosthetic,2793,How many patients does she have?,"[2598, 2606]",,,1.0,['NoRel:nan'],[],[]
prosthetic.S32.Q2,prosthetic,3040,How many people are in her research group working on this?,"[2951, 2965]",,,1.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],[]
prosthetic.S1.Q1,prosthetic,220,Are they still in Sierre Leone?,"[67, 104]","They didn't state completely but said they ""ran for safety""","[427.0, 460.0]",3.0,['Explicit:Comparison.Concession.Arg2-as-denier'],['Explicit:Comparison.Concession.Arg2-as-denier'],"['Explicit:Temporal.Synchronous', 'Implicit:Contingency.Cause.Result']"
prosthetic.S5.Q1,prosthetic,427,Is this person a boy or girl?,"[351, 374]",,,1.0,['Implicit:Contingency.Cause.Result'],['Implicit:Contingency.Cause.Result'],[]
prosthetic.S1.Q2,prosthetic,220,do you do anything creative?,"[199, 219]",,,1.0,['Explicit:Comparison.Concession.Arg2-as-denier'],['Explicit:Comparison.Concession.Arg2-as-denier'],[]
prosthetic.S5.Q2,prosthetic,427,any of yours amputated?,"[385, 426]","they ran so no, he was not ampuated","[444.0, 460.0]",5.0,['Implicit:Contingency.Cause.Result'],['Implicit:Contingency.Cause.Result'],"['Explicit:Temporal.Synchronous', 'Implicit:Contingency.Cause.Result']"
prosthetic.S7.Q1,prosthetic,752,did you leave the country then?,"[554, 605]",,,1.0,['NoRel:nan'],[],[]
